"animal_id","bin_timestamp","record_type","X","Y","utmZone"
16176001,"2014-05-14 16:59:17","interpolated",332792.994778979,4610398.40918177,17
16176001,"2014-05-14 19:59:17","interpolated",332654.844131191,4610495.19466743,17
16176001,"2014-05-14 22:59:17","interpolated",332516.697160529,4610591.98293262,17
16176001,"2014-05-15 01:59:17","interpolated",332366.819344459,4610653.04125632,17
16176001,"2014-05-15 04:59:17","interpolated",332198.183467782,4610656.97973524,17
16176001,"2014-05-15 07:59:17","interpolated",332029.547566207,4610660.92217789,17
16176001,"2014-05-15 10:59:17","detection",331796.280092561,4610459.75326969,17
16176001,"2014-05-15 13:59:17","interpolated",331801.271106221,4610476.03583545,17
16176001,"2014-05-15 16:59:17","interpolated",331850.813174838,4610637.66441888,17
16176001,"2014-05-15 19:59:17","interpolated",331900.353277983,4610799.29331721,17
16176001,"2014-05-15 22:59:17","interpolated",331949.891415556,4610960.92253045,17
16176001,"2014-05-16 01:59:17","interpolated",331999.427587483,4611122.55205863,17
16176001,"2014-05-16 04:59:17","interpolated",332072.045352336,4611272.1010581,17
16176001,"2014-05-16 07:59:17","interpolated",332176.626325362,4611404.92144139,17
16176001,"2014-05-16 10:59:17","interpolated",332281.203542506,4611537.74325986,17
16176001,"2014-05-16 13:59:17","interpolated",332385.777003657,4611670.56651356,17
16176001,"2014-05-16 16:59:17","interpolated",332490.347601233,4611803.39233626,17
16176001,"2014-05-16 19:59:17","interpolated",332594.916402049,4611936.22208348,17
16176001,"2014-05-16 22:59:17","interpolated",332699.481446303,4612069.0532661,17
16176001,"2014-05-17 01:59:17","interpolated",332804.042733854,4612201.88588416,17
16176001,"2014-05-17 04:59:17","interpolated",332908.600853986,4612334.72068649,17
16176001,"2014-05-17 07:59:17","interpolated",333013.157479705,4612467.559799,17
16176001,"2014-05-17 10:59:17","interpolated",333117.710348153,4612600.40034712,17
16176001,"2014-05-17 13:59:17","interpolated",333222.259459207,4612733.24233088,17
16176001,"2014-05-17 16:59:17","interpolated",333326.805099342,4612866.08611449,17
16176001,"2014-05-17 19:59:17","interpolated",333431.349547045,4612998.93459363,17
16176001,"2014-05-17 22:59:17","interpolated",333535.890236787,4613131.7845086,17
16176001,"2014-05-18 01:59:17","interpolated",333640.427168435,4613264.6358594,17
16176001,"2014-05-18 04:59:17","interpolated",333744.960341857,4613397.4886461,17
16176001,"2014-05-18 07:59:17","interpolated",333849.492592801,4613530.34647309,17
16176001,"2014-05-18 10:59:17","interpolated",333954.021100929,4613663.20575625,17
16176001,"2014-05-18 13:59:17","interpolated",334058.545850263,4613796.06647546,17
16176001,"2014-05-18 16:59:17","interpolated",334163.066840677,4613928.92863075,17
16176001,"2014-05-18 19:59:17","interpolated",334267.586605699,4614061.79544305,17
16176001,"2014-05-18 22:59:17","interpolated",334372.102929304,4614194.66409575,17
16176001,"2014-05-19 01:59:17","interpolated",334476.615493414,4614327.53418471,17
16176001,"2014-05-19 04:59:17","interpolated",334581.124297904,4614460.40570995,17
16176001,"2014-05-19 07:59:17","interpolated",334685.631574444,4614593.2815092,17
16176001,"2014-05-19 10:59:17","interpolated",334790.135710624,4614726.15953279,17
16176001,"2014-05-19 13:59:17","interpolated",334894.636086609,4614859.03899285,17
16176001,"2014-05-19 16:59:17","interpolated",334999.132702273,4614991.9198894,17
16176001,"2014-05-19 19:59:17","interpolated",335103.627487756,4615124.80467723,17
16176001,"2014-05-19 22:59:17","interpolated",335208.119433601,4615257.69207306,17
16176001,"2014-05-20 01:59:17","interpolated",335312.607618556,4615390.58090557,17
16176001,"2014-05-20 04:59:17","interpolated",335417.092042484,4615523.47117477,17
16176001,"2014-05-20 07:59:17","interpolated",335521.57433435,4615656.36495283,17
16176001,"2014-05-20 10:59:17","interpolated",335626.054086956,4615789.26172225,17
16176001,"2014-05-20 13:59:17","interpolated",335730.530077963,4615922.15992855,17
16176001,"2014-05-20 16:59:17","interpolated",335835.002307249,4616055.05957174,17
16176001,"2014-05-20 19:59:17","interpolated",335939.472102932,4616187.96234167,17
16176001,"2014-05-20 22:59:17","interpolated",336043.939659385,4616320.86848602,17
16176001,"2014-05-21 01:59:17","interpolated",336148.40345354,4616453.77606745,17
16176001,"2014-05-21 04:59:17","interpolated",336252.863485262,4616586.68508599,17
16176001,"2014-05-21 07:59:17","interpolated",336357.320782201,4616719.59684942,17
16176001,"2014-05-21 10:59:17","interpolated",336461.776139589,4616852.51237006,17
16176001,"2014-05-21 13:59:17","interpolated",336566.227733976,4616985.42932797,17
16176001,"2014-05-21 16:59:17","interpolated",336670.675565238,4617118.3477232,17
16176001,"2014-05-21 19:59:17","interpolated",336775.120360853,4617251.26848177,17
16176001,"2014-05-21 22:59:17","interpolated",336879.563516271,4617384.19338003,17
16176001,"2014-05-22 01:59:17","interpolated",336984.002907983,4617517.11971578,17
16176001,"2014-05-22 04:59:17","interpolated",337088.438535871,4617650.04748904,17
16176001,"2014-05-22 07:59:17","interpolated",337192.870827608,4617782.97724439,17
16176001,"2014-05-22 10:59:17","interpolated",337297.301778128,4617915.91152162,17
16176001,"2014-05-22 13:59:17","interpolated",337401.728964254,4618048.84723654,17
16176001,"2014-05-22 16:59:17","interpolated",337506.15238585,4618181.78438918,17
16176001,"2014-05-22 19:59:17","interpolated",337610.572171129,4618314.72314296,17
16176001,"2014-05-22 22:59:17","interpolated",337714.990913854,4618447.6668005,17
16176001,"2014-05-23 01:59:17","interpolated",337819.405891474,4618580.61189592,17
16176001,"2014-05-23 04:59:17","interpolated",337923.817103864,4618713.55842928,17
16176001,"2014-05-23 07:59:17","interpolated",338028.224550897,4618846.50640059,17
16176001,"2014-05-23 10:59:17","interpolated",338168.636540819,4618939.66612471,17
16176001,"2014-05-23 13:59:17","interpolated",338311.339631226,4619030.29280871,17
16176001,"2014-05-23 16:59:17","interpolated",338454.039055012,4619120.92224499,17
16176001,"2014-05-23 19:59:17","interpolated",338596.734812111,4619211.55443359,17
16176001,"2014-05-23 22:59:17","interpolated",338739.426902456,4619302.18937453,17
16176001,"2014-05-24 01:59:17","interpolated",338882.115491367,4619392.8271729,17
16176001,"2014-05-24 04:59:17","interpolated",339024.807859883,4619483.47245419,17
16176001,"2014-05-24 07:59:17","interpolated",339167.49656106,4619574.12048821,17
16176001,"2014-05-24 10:59:17","interpolated",339310.181594842,4619664.77127499,17
16176001,"2014-05-24 13:59:17","interpolated",339452.862961143,4619755.42481455,17
16176001,"2014-05-24 16:59:17","interpolated",339595.540659908,4619846.08110693,17
16176001,"2014-05-24 19:59:17","interpolated",339738.215480313,4619936.74065368,17
16176001,"2014-05-24 22:59:17","interpolated",339880.893455877,4620027.40728913,17
16176001,"2014-05-25 01:59:17","interpolated",340023.567763317,4620118.07667777,17
16176001,"2014-05-25 04:59:17","interpolated",340166.238402568,4620208.74881966,17
16176001,"2014-05-25 07:59:17","interpolated",340308.905373565,4620299.42371479,17
16176001,"2014-05-25 10:59:17","interpolated",340451.568676242,4620390.10136322,17
16176001,"2014-05-25 13:59:17","interpolated",340594.229726064,4620480.78266477,17
16176001,"2014-05-25 16:59:17","interpolated",340736.893304154,4620571.47065899,17
